country_code,TZ_database_name,UTC_offset_STD,time_zone_STD
CA,Canada/Newfoundland,?03:30,NST
CA,Canada/Pacific,?08:00,PST
CA,Canada/Saskatchewan,?06:00,CST
CA,Canada/Yukon,?07:00,MST
CL,Chile/Continental,?04:00,-4
CL,Chile/EasterIsland,?06:00,-6
CU,Cuba,?05:00,CST
EG,Egypt,+02:00,EET
IE,Eire,+01:00,IST
NL,Europe/Amsterdam,+01:00,CET
AD,Europe/Andorra,+01:00,CET
RU,Europe/Astrakhan,+04:00,4
GR,Europe/Athens,+02:00,EET
GB,Europe/Belfast,+00:00,GMT
"RS,?BA,?HR,?ME,?MK,?SI",Europe/Belgrade,+01:00,CET
"DE,?DK,?NO,?SE,?SJ",Europe/Berlin,+01:00,CET
SK,Europe/Bratislava,+01:00,CET
"BE,?LU,?NL",Europe/Brussels,+01:00,CET
RO,Europe/Bucharest,+02:00,EET
HU,Europe/Budapest,+01:00,CET
DE,Europe/Busingen,+01:00,CET
MD,Europe/Chisinau,+02:00,EET
DK,Europe/Copenhagen,+01:00,CET
IE,Europe/Dublin,+01:00,IST
GI,Europe/Gibraltar,+01:00,CET
GG,Europe/Guernsey,+00:00,GMT
"FI,?AX",Europe/Helsinki,+02:00,EET
IM,Europe/Isle_of_Man,+00:00,GMT
TR,Europe/Istanbul,+03:00,3
JE,Europe/Jersey,+00:00,GMT
RU,Europe/Kaliningrad,+02:00,EET
UA,Europe/Kiev,+02:00,EET
RU,Europe/Kirov,+03:00,3
UA,Europe/Kyiv,+02:00,EET
PT,Europe/Lisbon,+00:00,WET
SI,Europe/Ljubljana,+01:00,CET
"GB,?GG,?IM,?JE",Europe/London,+00:00,GMT
LU,Europe/Luxembourg,+01:00,CET
ES,Europe/Madrid,+01:00,CET
MT,Europe/Malta,+01:00,CET
AX,Europe/Mariehamn,+02:00,EET
BY,Europe/Minsk,+03:00,3
MC,Europe/Monaco,+01:00,CET
RU,Europe/Moscow,+03:00,MSK
CY,Europe/Nicosia,+02:00,EET
NO,Europe/Oslo,+01:00,CET
"FR,?MC",Europe/Paris,+01:00,CET
ME,Europe/Podgorica,+01:00,CET
"CZ,?SK",Europe/Prague,+01:00,CET
LV,Europe/Riga,+02:00,EET
"IT,?SM,?VA",Europe/Rome,+01:00,CET
RU,Europe/Samara,+04:00,4
SM,Europe/San_Marino,+01:00,CET
BA,Europe/Sarajevo,+01:00,CET
RU,Europe/Saratov,+04:00,4
"RU,?UA",Europe/Simferopol,+03:00,MSK
MK,Europe/Skopje,+01:00,CET
BG,Europe/Sofia,+02:00,EET
SE,Europe/Stockholm,+01:00,CET
